name,website,type,business_model,pricing,offer_usp,sales_points,positioning,client_profile,geographical_focus,social_media_links,content_strategy_analysis,social_results,marketing_strategy,technology_offering,technology_functions,integrations,other_info,Monthly traffic av 3 month
Collabstr,https://collabstr.com/,Platform (Marketplace),A marketplace with a tiered subscription model for brands that reduces transaction fees. Creators join for free and pay a 15% transaction fee on earnings.,"For Brands: Basic Plan ($0/month + 10% marketplace fee), Pro Plan ($149/mo yearly), and Premium Plan ($199/mo yearly + 5% marketplace fee). A 'Full Service' agency option is also available.","A user-friendly online marketplace that democratizes influencer marketing with simplicity, affordability, and speed, offering a pay-per-project model and a secure escrow payment system.","Free to join for brands with a pay-per-project model. Features a network of over 350,000 vetted influencers. Provides a secure escrow payment system, releasing funds only after work is approved. Enables direct communication and negotiation between brands and creators. Offers a UGC-specific marketplace. No long-term contracts required.",A user-friendly and affordable marketplace designed to simplify and streamline influencer marketing for small to medium-sized businesses and creators.,"Small to medium-sized businesses (SMBs), startups, and creators. Used by 80,000 registered brands. Notable clients include Wealthsimple and Numi.","Global, available in over 35 countries.","Active on Instagram, TikTok, and Twitter. Supports campaigns on Instagram, TikTok, YouTube, Twitch, and Twitter.",Not provided in context.,"A campaign for Numi generated 50,000+ impressions.","Marketing strategy includes offering a suite of free tools (Influencer Price Calculator, Fake Follower Checkers, Engagement Rate Calculators) to attract users. It also maintains a blog, a resource hub, and an affiliate program.","An online marketplace platform with tools for discovery, communication, and payment.","Influencer search, campaign posting (brands receive applications), instant messaging, analytics tracking, campaign brief templates, contract templates, and a secure escrow payment system.","Uses Stripe for brand payments (credit/debit cards) and Dots for creator payouts (PayPal, CashApp, Venmo).",Collabstr is explicitly not an agency. The platform has mobile apps for iOS and Android. A noted limitation is the lack of advanced targeting and minimal campaign strategy consulting.,"569,865"
Greenhouse Communications,https://greenhouse.agency/,Agency,"Service-based model, typical for a PR and communications agency.","Not publicly stated. Third-party estimates suggest a range from $6,000 to $70,000 annually, depending on scope.",A specialist environmental communications agency dedicated to driving positive social and environmental impact for clients accelerating the transition to a net-zero economy.,"Fully employee-owned company with over 20 years of experience. Certified B Corporation with a high B Impact Score (121.8) and ISO14001 certified. Deep expertise in high-impact sustainability sectors (Energy, Food, Transport, Nature). Offers fully integrated communications services, from research to paid media. Winner of Business Green's 'Communications Agency of the Year' multiple times. Adheres to an ethical AI Manifesto.",A specialist 'green PR and digital agency' for 'game changers' who are creating a more sustainable world. It positions itself as a partner in driving real impact and systemic change.,"Mission-driven organizations, including businesses, entrepreneurs, and NGOs focused on sustainability and the low-carbon economy. Clients include NatPower, Surfers Against Sewage, Greenpeace, Bloomberg Ocean Initiative, and The Nature Conservancy.","Global. Headquartered in the UK (Bristol, London, Dorset) but works with clients and executes campaigns worldwide.","Threads: https://www.threads.net/@greenhousecomms, LinkedIn: https://uk.linkedin.com/company/greenhouse-pr/, Instagram: https://www.instagram.com/greenhousecomms/, Bluesky: https://bsky.app/profile/greenhouse.agency","LinkedIn content is focused on company updates, industry insights related to sustainability, showcasing impactful case studies, awards, and thought leadership pieces on topics like COP30 communications.","LinkedIn profile has 12,742 followers. A campaign for The Nature Conservancy generated over 1.1 billion impressions. A campaign for Surfers Against Sewage secured 200 media placements.","Marketing is driven by thought leadership (blog posts, reports), PR around its awards and B Corp status, and detailed case studies that highlight massive media reach and impact for its clients.","The agency invests in insights, creative, and paid media tools, guided by an ethical AI Manifesto that ensures human oversight and expert training.","Services include insights and research, strategy and messaging, creative and content production (film, animation, reports), and activation campaigns (digital advertising, social media, media relations, key opinion leader engagement).",No specific software integrations are mentioned.,Founded in 2003/2004 by Anna Guyer. It is a fully employee-owned company. The website experienced 404 errors on key pages during research attempts.,"9,300"
Takumi,https://takumi.com/,Mix (Agency & Platform),A fully managed service agency powered by a proprietary platform. Operates on a fee-per-service model for campaigns with no monthly subscription.,Pricing is provided on request and is based on individual campaign needs and budget. No public minimums were found.,"A global leader in influencer and creator marketing that delivers a fully managed service, combining human creativity with a data-driven, award-winning technology platform for unmatched performance.","Over 8 years of experience with thousands of campaigns for 1,000+ global brands. Employs a rigorous, multi-step vetting process, accepting only 7% of creator applicants. Brands receive ownership of the content for future marketing use. Claims campaigns are 7 times more effective than Google Display ads. Acquired Unieed to enhance paid media capabilities. Raised $14.3M in funding.",Positions itself as the 'World's Leading Data-driven Influencer Marketing Platform' and a pioneer in leveraging micro-influencers to deliver creativity and real ROI.,"Large brands and advertising agencies, but also suitable for small and medium brands. The client list includes Sony Music, Hilton, Procter & Gamble, BBC, La Roche-Posay, Uber, and Mercedes-Benz.","Global, with offices in London, UK, and New York, USA. Services are available in the USA, UK, Ireland, Iceland, and Germany.","TikTok: https://www.tiktok.com/@takumihq, Facebook: https://www.facebook.com/takumihq/, Instagram: https://www.instagram.com/takumihq/, LinkedIn: https://www.linkedin.com/company/takumihq","Social media content is used to promote services, share case studies, and provide thought leadership on influencer marketing trends. LinkedIn posts often highlight the team and company culture.",Not provided in context.,"Marketing relies on showcasing case studies, publishing industry insights, and promoting its data-driven approach. The acquisition of Unieed is also a key marketing point for its paid media services.",A proprietary influencer marketing platform with a dedicated mobile app for creators and a dashboard for brands/agencies.,"Influencer discovery and vetting ('TAKUMI creator index'), background checks, briefing, contracting, content submissions/approvals, payments, campaign tracking, real-time reporting, and brand lift studies.","The platform allows for creator-driven amplification and paid social advertising, but specific third-party integrations are not listed. Uses HubSpot Marketing Hub.","Founded in 2014. Acquired Unieed (Aug 2021) and Qibitech (Sep 2020). Content licensing provides brands a one-year, royalty-free, non-exclusive license for digital use unless otherwise negotiated.","4,865"
Obviously,https://www.obvious.ly/,Agency,"A full-service global influencer marketing agency, likely operating on retainers or project fees.",Pricing details are not public; interested parties are directed to 'Get in touch.',"A full-service global influencer marketing agency and a VML company that develops authentic, custom influencer communities and provides dynamic content at incredible scale for iconic brands.","Part of the WPP network via VML, providing significant resources and reach. Offers end-to-end services including in-house logistics for custom product seeding. Specializes in content licensing and repurposing IGC for e-commerce PDPs. Provides sophisticated and flexible content rights options (licensing vs. work-for-hire). Utilizes proprietary AI and an interactive client dashboard for advanced analytics. Official TikTok and Meta Partner.",A leading full-service global influencer marketing agency and creative content engine that delivers 'Creator-Driven Commerce' solutions for Fortune 500 clients.,"Fortune 500 clients and iconic brands across numerous verticals, including Automotive, B2B, Beauty, Entertainment, and Retail. Key clients include Google, Sherwin Williams, Microsoft, Square, Amazon, and large beauty groups like Estée Lauder and L'Oréal.","Global. The agency has a global team and can execute campaigns in any language, with offices in New York (HQ), San Francisco, Los Angeles, and Paris.","LinkedIn, Instagram, and Facebook.",Not provided in context.,"Reports over 5.1 billion organic impressions and 152,000+ influencer collaborations. Claims an average of $5.20 ROI for every $1 spent.","Marketing leverages its position within the WPP network, its official partner status with TikTok and Meta, and impressive aggregate performance metrics to attract large clients. Case studies and awards are also key components.",Leverages a proprietary AI-powered platform with an interactive client dashboard ('Studio Dashboard') for analytics and reporting.,"Advanced data analytics, real-time reporting, 'always-on brand safety checks,' and a competitive analysis tool called 'Share of Influence.' The platform also supports the management of custom creator networks.","Official TikTok and Meta Partner, indicating deep platform integration.","Acquired by VMLY&R, now a VML company within the WPP network. Founded in 2014 by Mae Karwowski and Maxime Domain. Named 'Influencer Marketing Agency of the Year 2024' in France. Its services agreement includes forward-thinking clauses on using public content for AI modeling.","232,235"
Avenue Z (formerly The Snow Agency),https://avenuez.com/,Agency,"A full-service strategic communications and marketing advisory, likely operating on retainers or project fees.",Not publicly disclosed.,"A full-service strategic communications and marketing advisory that employs a 'Convergence Media' approach, integrating PR, marketing, and media to turn brand perception into performance.","Executes a rapid growth strategy through acquisitions of specialized firms (The Snow Agency, Designzillas, Bevel). Backed by private equity fund Baleon Capital. Offers a comprehensive suite of services including PR, AI optimization, paid media, and performance marketing. Utilizes an Influencer Network Platform and AI-powered creator discovery. Proven results for DTC brands, such as increasing revenue by 537% for Yogibo.",A next-generation advisory firm that turns brand perception into performance by leading in AI optimization and driving influence across all channels.,"Direct-to-consumer (DTC) brands and companies in sectors like alternative assets. Case studies feature clients like Yogibo, Nightwise, Nori, and Saranghae.",Primarily US-focused with offices in New York and Miami.,"Active on YouTube, X (formerly Twitter), Instagram, TikTok, and LinkedIn.",Not provided in context.,The former Snow Agency drove over $1 billion in revenue for over 200 DTC brands.,"Marketing is driven by PR around its series of acquisitions and rebrand, showcasing its rapid growth and expanding capabilities. Case studies with strong revenue-based outcomes are a key tool.","Utilizes an Influencer Network Platform and leverages AI for creator discovery, optimization, and email/SMS marketing.","Influencer discovery, influencer relationship management, campaign management, performance analysis (tracking engagement, conversions, ROI), and AI-powered marketing automation.","Shopify Plus Partner, Google, Meta, TikTok, Klaviyo, and Attentive.","Avenue Z is the new brand identity for a network of acquired agencies, including The Snow Agency (acquired June 2023). The company is led by Chairman and CEO Jeffrey Herzog and funded by Herzog and Baleon Capital.","31,000"
Strudel,https://streamstrudel.com/,Agency,"A service-based agency model, working directly with clients on campaigns.","No public information on pricing or plans, indicating a bespoke, quote-based approach.","A specialized global influencer marketing agency that connects brands with audiences through data-driven, creative campaigns exclusively on TikTok.","Deep specialization in the TikTok ecosystem. Tracks the top 100,000 TikTok creators daily via a proprietary database. High-profile client portfolio including SONY, Warner, Universal, Amazon, ByteDance, and Gucci. Proven results, generating 8.6 billion video views and achieving a 70% lower CPM for clients. Strong focus on social commerce, with over 4,000 shoppable videos per month and a network of 400+ live hosts.","A Global Influencer Marketing Agency with a primary focus on connecting brands with audiences through TikTok, leveraging data and Gen-Z creative expertise.","Major music labels (SONY, Warner, Universal) and global brands (Amazon, ByteDance, Gucci, Bondi Sands) looking for expert TikTok campaign execution.","Global. Headquartered in London, England.","Instagram: @streamstrudel, LinkedIn: Strudel company page",Instagram bio highlights its agency status and top-tier clients. LinkedIn describes itself as an advertising service focused on TikTok.,"Instagram: 2,469 followers. LinkedIn: 908 followers. A campaign for Mimi Webb resulted in 280,000 videos created and 121 million content views.",Marketing relies on showcasing impressive performance metrics and case studies with major brands and music artists to demonstrate its deep TikTok expertise.,"Utilizes a proprietary database that tracks the top 100,000 TikTok creators daily, allowing for detailed performance analysis and segmentation.","Geographic segmentation, performance metric analysis for any creator, song, or hashtag, and real-time, automated campaign reporting.","No specific integrations mentioned, but its focus on TikTok implies deep platform knowledge.","Founded in 2019. Reported Net Assets of £408.59K as of Dec 31, 2024. The company is actively hiring for TikTok Shop-related roles, indicating a strong focus on social commerce.",210
Ed Hopkins PR,https://edhopkinspr.co.uk/,Agency,A boutique public relations agency operating on a service-based model.,No public rate card is available.,"An award-winning boutique public relations agency providing strategic communications, reputation management, and influencer seeding for both individual talent and brands.","Award-winning boutique agency established in 2015. Offers specialized PR services for both personal talent (actors, musicians) and brands. Provides 'Influencer & Talent Seeding' as a specific service. Manages reputation, profile building, media relations, and crisis navigation.",A boutique public relations agency specializing in strategic communications for talent and brands.,"Individual talent (actors, musicians, public figures) and brands seeking PR, communications, and influencer seeding services.","Based in the UK (London/Hampshire), but likely serves clients with international needs.","LinkedIn: uk.linkedin.com/company/ed-hopkins-pr, Instagram: @edhopkinspr, Facebook: facebook.com/edhopkinspr, Twitter/X: @edhopkinspr",Not provided in context.,"Instagram: 11,000 followers, 200 posts. Facebook: 551 likes. LinkedIn: Lists 4 employees.","Marketing appears to be driven by the personal brand of its founder, Edward Hopkins, and its social media presence.",No proprietary technology is mentioned.,Not applicable.,No specific integrations are mentioned.,"Operates under the legal trading name of Cooper & Hopkins Limited. Several key pages on the official website were returning 404 errors during research, suggesting potential website issues.","4,700"
TikMarketing,https://tikmarketing.co.uk/,Agency,"A specialized, service-based agency model focused on TikTok Shop.","No public rate card is available. The contact form requires prospective clients to state their annual turnover, suggesting a qualification process or tailored pricing.",The 'Official #1 TikTok Shop Agency' and an award-winning TikTok Shop Partner that helps brands scale their business and achieve up to a 30x increase in revenue on the platform.,"Official TikTok Shop Partner. Awarded 'LIVE Badge,' 'Video Badge,' and 'Affiliate Badge' by TikTok for top performance. Winner of the 'CAP Badge: Short Video – Gold Level Badge' and the '0-1: Grow Together Award.' Manages a large network of affiliates who post over 600 videos daily for clients. Claims to achieve 6+ ROAS on TikTok ads. Offers full shop management, from onboarding to ads and livestreams.","Positions itself as the leading, award-winning agency exclusively focused on driving revenue and growth for brands on TikTok Shop.",Brands of various sizes seeking to scale their business on TikTok Shop.,Based in the UK (Crawley).,"LinkedIn: @tikmarketinguk, Instagram: @tikmarketinguk, TikTok: @tikmarketinguk",Not provided in context.,"Claims to drive over $3,000,000 in monthly revenue on TikTok for one of its largest clients and helps brands achieve six-figure revenues in under three months.",Marketing is heavily reliant on its official TikTok partner status and numerous awards from the platform. It uses strong performance claims and case results to attract clients.,"No proprietary technology is mentioned; the agency focuses on expert, service-based execution on the TikTok platform.",Not applicable.,"As an official TikTok Shop Partner, the agency has deep integration and expertise with the TikTok platform's affiliate, live, video, and ad systems.","The agency notes the standard TikTok Shop commission fees (1.8% for the first 90 days, then 5%) for transparency with clients.","7,100"
Collectively,https://www.collectivelyinc.com/,Agency,"A full-service global influencer marketing agency, likely operating on retainers or project fees.",Not publicly disclosed.,"A global, people-powered marketing agency that combines strategy, creative, and technology to solve key industry challenges like ROI demonstration and fraud-free metrics at a global scale.","Acquired by The Brandtech Group and merged with TheAmplify, creating a larger, more powerful entity. Led by an all-women executive team. Has a mandate to present at least 40% influencers of color for all programs. Works with a wide range of global and independent brands. Actively collaborating with Gen AI artists and creators. Winner of two gold awards at the 2025 Global Influencer Marketing Awards.","A leader in people-powered marketing, focused on developing authentic influencer campaigns that are data-driven, fraud-free, and globally scalable.","A range of brands from global names to independent companies across consumer lifestyle categories like Fashion, Retail, Beauty, Home, Tech, and Wellness. Key clients include Adobe, Coty, Danone, Diageo, HP, LinkedIn, NFL, and Unilever.",Global.,"Active on Instagram, LinkedIn, and TikTok.",Not provided in context.,Not provided in context.,"Marketing leverages its acquisition by The Brandtech Group, its numerous awards, and its commitment to diversity and inclusion. Case studies with major brands are also a key component.","The agency utilizes technology for data-driven strategy and full-funnel reporting, but no specific proprietary platform name is mentioned.","Data-driven strategy, influencer matchmaking, and full-funnel reporting.",Not provided in context.,Founded in 2013. Acquired by You & Mr Jones (now The Brandtech Group) in August 2020 and merged with TheAmplify. Named one of the world's Most Innovative Companies by Fast Company in 2018. Creator compensation is project-based with standard payment terms of net 60 via PayPal.,"11,265"
Underscore Talent,https://underscoretalent.com/,Talent Management Company,"A 360° talent management model focused on building long-lasting careers for creators, primarily through a licensing model. Also generates ancillary revenue from consumer products, e-commerce, publishing, and production.",Operates on a commission-based model typical for talent management.,"A next-generation management company that provides personalized, scalable 360° management for digital-first talent, with a majority stake owned by media powerhouse TheSoul Publishing.","Founded by industry veterans from Studio71 and The Collective. Acquired a majority stake by TheSoul Publishing, providing significant resources. Amassed $120 million in branded content deals and executed 5,000 campaigns in 2024. Represents high-profile talent like Noah Beck. Launched a dedicated comedy division and a web3 IP studio (Underscore LABS). Has an in-house digital production arm, Shorthand Studios.","A next-generation management company for the 'attention economy,' focused on building long-lasting, multi-platform careers for creators, personalities, artists, and entrepreneurs.","A diverse range of digital-first talent, including creators on YouTube, TikTok, Instagram, and Twitch, as well as gamers, podcasters, and public personalities. Marquee talent includes Noah Beck, Fysh Foods founder Zoya Biglary, and comedy creators like Zachariah Porter.","Based in Beverly Hills, CA, serving a primarily US-based but globally recognized roster of talent.","LinkedIn (approx. 5,739 followers), Instagram (@underscoretlnt), Twitter, and Facebook.",Not provided in context.,Represents talent featured on the Forbes 30 Under 30 list. Executed a major 360° creator amplification model for the Las Vegas Grand Prix.,"Marketing is driven by PR around its major brand collaborations (F1, Red Bull, Guess), high-profile talent signings, strategic partnerships (TheSoul Publishing), and expansion into new verticals like comedy and web3.","Launched Underscore LABS, a web3 IP studio to explore the intersection of media, entertainment, and community.","The company's focus is on management services, but its LABS division explores web3 technologies for talent.",Not applicable.,"Founded in 2021. In December 2022, TheSoul Publishing acquired a majority stake in the company. The company has a charitable partnership with The Salvation Army.","6,735"
Shine Talent Group,https://shinetalentgroup.com/,Mix (Talent Management Company & Agency),A dual model serving both brands with influencer relations/campaign services and creators with one-on-one talent management. Also operates an angel investment firm (LOVEXMONEY) for its talent.,Not publicly disclosed.,"A global talent management and influencer relations agency that provides 360-degree support for creators, including an in-house angel investment firm to help them launch their own businesses.","Global footprint with offices in Los Angeles, Toronto, London, and a planned NY office. Manages over 3,000 campaigns quarterly with a network of 300+ creators. Operates LOVEXMONEY, an angel investment firm to fund talent's business ideas. Has an in-house literary agent to support creators in writing books. Provides comprehensive back-office support, including contract specialists and a full finance department. Has grown through strategic acquisitions (Spark Talent Group, Fourth Floor Creative).","A global talent management and influencer relations agency specializing in the online and social space, focused on fostering creator growth through brand partnerships and ancillary revenue streams.","Represents a global roster of micro to macro social talent, with a primary focus on beauty, fashion, and lifestyle niches. Also serves brands and agencies with campaign services. Brand partners include Walmart, Canadian Tire, Ulta Beauty, Merit Beauty, and Knix.","Global, with offices in Los Angeles (US), Toronto (Canada), and London (UK).","Instagram: @shinetalentgroup (approx. 29,399 followers), TikTok: @shinetalentgroup, LinkedIn: (approx. 5,426 followers), Facebook: (approx. 3,271 likes).","Social media showcases high-profile brand collaborations with their talent, such as @fraicheliving x Walmart and @gillianxgrace x Ulta Beauty, to attract both new talent and brand partners.","Manages a network of 300+ creators and works with 2,000+ agency and brand partners.","Marketing is driven by showcasing successful, high-visibility brand partnerships, PR around its office expansions and acquisitions, and promoting its unique LOVEXMONEY investment arm for creators.",No proprietary technology platform is mentioned; the focus is on high-touch management and services.,Not applicable.,Not applicable.,"The company's origins trace back to Shine PR (2015), with the influencer division launching in late 2015 and rebranding to Shine Talent Group in 2021. Founded by Jess Hunichen and Emily Ward.","3,765"
Digital Brand Architects (DBA),https://thedigitalbrandarchitects.com/,Talent Management Company,"A comprehensive talent management model focused on managing creators as individual business entities. Generates ancillary revenue through multiple divisions: Digital Brand Products (merchandise), Dear Media (podcast network), and a UGC division.",Operates on a commission-based model typical for talent management.,"A pioneering digital influencer management company, now part of United Talent Agency (UTA), that represents a world-class portfolio of creators and has built a robust ecosystem for ancillary revenue generation.","Acquired by United Talent Agency (UTA), providing talent with access to opportunities in traditional media (TV, film, publishing). Represents a roster of 180-350+ prominent influencers with a total reach of over 500 million. Operates Digital Brand Products (DBP) for talent-led merchandise and licensing. Founded Dear Media, a leading women-focused podcast network. Launched a dedicated UGC division in 2023. Has an in-house legal advisory team.","The industry's first digital influencer management company, representing a world-class portfolio of social media-oriented personalities, creators, and publishers.","A world-class portfolio of prominent social media influencers, creators, and publishers, primarily in beauty, fashion, and lifestyle. Marquee talent includes Aimee Song, Patrick Starrr, Olivia Ponton, and Glamzilla.",Bicoastal US presence with offices in New York City and Los Angeles.,Active on Instagram (@therealdba) and LinkedIn.,Not provided in context.,"Facilitated major successes, including Patrick Starrr's beauty brand, One/Size, securing a $10 million investment.","Marketing is driven by the high-profile successes of its talent (e.g., major brand ambassadorships, product line launches), its affiliation with UTA, and features in top-tier publications like The New York Times and Forbes.",No proprietary technology platform is mentioned; the focus is on management and business development.,Not applicable.,Not applicable.,Founded in 2010 by Raina Penchansky. Acquired by United Talent Agency (UTA) in February 2019. Recognized as one of Ad Age’s Best Places to Work. Partners with the Create & Cultivate conference series.,"8,835"
AWISEE,https://awisee.com/,Agency,"A global digital marketing agency operating on a service-based model, with transparent pricing indicators.","Minimum project size is $5,000+. Hourly rates are between $50-$99. The most common project engagement is between $10,000 and $49,999.","A global digital marketing agency with strong specialization in executing KOL & Influencer Marketing campaigns in niche and complex sectors like Tech, SaaS, Fintech, Crypto, and iGaming.","Offers a comprehensive, one-stop-shop service range, from influencer discovery to full campaign management. Possesses deep expertise in niche and complex industries (Crypto, Web3, AI, etc.). Manages campaigns globally across all major platforms, including localized campaigns for China (Douyin, Weibo) and Japan. Holds a very high reputation on Clutch (4.9/5 overall score) for quality, schedule, and cost.","A Global Digital Marketing Agency providing a full suite of services with a strong specialization in SEO, Digital PR, and KOL & Influencer Marketing for diverse and technical industries.","Brands in Tech & SaaS, Fintech, E-commerce, Crypto, Web3, iGaming, Travel, and AI sectors.","Global. A remote European agency with cited locations in Zürich (Switzerland), Singapore, and Stockholm (Sweden).","X (Twitter): @awisee_, LinkedIn: AWISEE company page.",LinkedIn highlights its specialties in Web3 and Crypto influencer marketing.,Not provided in context.,"Marketing relies heavily on its strong reputation and high ratings on review platforms like Clutch. It also uses its website and social media to highlight its expertise in niche, high-growth sectors.",No proprietary technology is mentioned; the agency focuses on data-driven strategy and service-based execution.,Not applicable.,Not applicable.,"Founded in 2018 by Gustav Andersson. The company is accessible via email, Telegram, and WhatsApp, indicating a flexible and modern communication approach.","124,600"
Trend,https://www.trend.io/,Platform (Marketplace),"A self-serve, pay-per-project User-Generated Content (UGC) marketplace using a 'Creator Credits' system. There are no monthly subscriptions or platform fees.","Operates on a credit-based system. The base cost is $9.16 per Creator Credit, with packages ranging from 'Starter' ($550 for 60 credits) to 'Scale' ($3,872 for 560 credits). Credits expire after 12 months.","A self-serve UGC marketplace that connects brands with a curated network of creators to produce authentic, high-quality, fully licensed photos and videos at scale with speed and cost-predictability.","Pay-per-project model with no subscriptions or platform fees. Provides access to a curated network of over 3,700 vetted creators. Brands receive 100% licensing and distribution rights for all approved content in perpetuity. Guarantees content delivery, offering reimbursement if a creator fails to produce. Rapid content turnaround, with an average delivery time of 2-3 weeks. Streamlined, easy-to-use platform with automated project timelines.","A custom content studio for brands, focused on generating high-quality, licensed UGC for various marketing needs, rather than traditional influencer campaigns that require social posting.","Brands of all sizes needing authentic photos and videos for marketing channels like social media, websites, paid ads, and Amazon product pages.",Global.,"Active on Instagram, LinkedIn, Facebook, Twitter, and TikTok.",Marketing emphasizes the creation of authentic content by real people in real settings.,"The platform has facilitated over 20,000 completed partnerships, delivering 31,500+ videos and 46,000+ images.","Marketing highlights the platform's speed, cost-predictability, and the value of fully licensed UGC. The transparent, credit-based pricing is a key selling point.",A self-serve marketplace and content platform.,"Project brief creation, creator application review and approval, content submission and approval workflow, automated project timelines, in-platform messaging, and creator payment handling.","No direct software integrations are mentioned. The content output is designed to be universally compatible with e-commerce platforms (like Shopify), social channels, and ad managers.","Trend recently joined forces with Soona, a virtual photo and video shoot platform. Creators on the platform are not required to have a minimum social follower count.","99,765"
Aspire,https://www.aspire.io/,Platform,"SaaS platform with custom packages for brands, offering both DIY and managed agency services. The affiliate model is performance-based.","Pricing is not publicly disclosed; brands must contact sales for a custom quote. Third-party sources suggest pricing starts around $2,000-$2,500 per month with an annual commitment.","A leading influencer marketing software platform for high-growth e-commerce brands and Fortune 500 companies, designed to operationalize word-of-mouth commerce.","Official TikTok Marketing Partner with direct API integration. Offers deep integrations with Shopify and WooCommerce for sales tracking and product seeding. Provides 'Attributable ROI,' measuring full-funnel metrics like sales, CAC, and LTV. Features a 'Creator Marketplace' for discovery and a 'Creator Academy' for education. SOC 2 Type 2 certified, ensuring high security and compliance standards. Manages payments and contracts through its 'AspirePay' feature.","An all-in-one platform for 'word-of-mouth commerce,' transforming creators into a scalable sales force for high-growth e-commerce brands and large enterprises.","High-growth e-commerce brands and Fortune 500 companies, particularly in fashion, beauty, health, wellness, and consumer goods.",Global.,Not provided in context.,"Marketing resources include a blog, webinars, ebooks, marketing courses, and a community for founders called 'Inside Influence.'","Client case studies report a 2,100% increase in affiliate sales and achieving over 3x ROAS.","Marketing is driven by its official TikTok partnership, strong e-commerce integrations, and case studies demonstrating measurable ROI. It also fosters a community through educational content and events.",A comprehensive influencer marketing platform with a creator marketplace and strong analytics capabilities.,"Creator discovery (search engine and marketplace), campaign and relationship management, content management and rights acquisition, sales generation (unique discount codes and affiliate links), and creator payments (AspirePay).","Deep integrations with Shopify, WooCommerce, Meta, TikTok, and Pinterest. Also integrates with affiliate networks like CJ, ShareASale, and Awin to centralize conversion data. Offers a REST API for custom workflows.","SOC 2 Type 2 certified, as well as GDPR and CCPA compliant. Aspire states that it never takes a commission from creators' earnings.","165,835"
AnyMind Group / AnyTag,https://anymindgroup.com/products/anytag/,Platform,"A technology company offering a suite of platforms, including AnyTag for influencer marketing, likely on a subscription or enterprise license model.",Not publicly disclosed.,"A leading technology company in Asia offering a comprehensive, end-to-end influencer marketing platform (AnyTag) specifically designed for the APAC region, with deep e-commerce and social commerce integrations.","Significant presence in Asia with 25 offices across 15 markets. Certified TikTok Creator Solutions Partner. Holds numerous e-commerce partner certifications in Southeast Asia (TikTok Shop, Shopee, Lazada). Integrates its influencer platform (AnyTag) with its e-commerce management platform (AnyX) for unified commerce tracking. Acquired Vibula, a Vietnamese live commerce agency, to strengthen capabilities. Named 'Rising Star Partner of the Year 2024' by Shopify in Japan.","A leading technology company representing Asia, with a mission to make every business borderless through a suite of integrated platforms for marketing, e-commerce, and digital transformation.","Marketers and businesses operating in the APAC region, from D2C brands to large enterprises.","Primarily focused on the APAC region, with a strong presence in Singapore, Thailand, Indonesia, Vietnam, Japan, and the Philippines, as well as the Middle East.","Integrates with Instagram, TikTok, YouTube, X (Twitter), Facebook, Douyin, Threads, and XiaoHongShu.",Not provided in context.,Not provided in context.,"Marketing is driven by its strong regional partnerships, official certifications from TikTok and major e-commerce marketplaces, and strategic acquisitions that bolster its market leadership in APAC.","Offers AnyTag, an influencer marketing platform, which is part of a broader suite including AnyX (e-commerce management), AnyFactory (manufacturing), and AnyAI (business intelligence). AnyTag now incorporates conversational AI for campaign planning and analysis.","Data-driven influencer discovery, end-to-end campaign management, performance tracking, hashtag and trend analytics, UGC tracking, and AI-powered content generation and recommendations.","AnyTag integrates with AnyX, which in turn connects to Shopify, TikTok Shop, Shopee, Lazada, and Qoo10. The overarching AnyAI platform integrates with over 40 global services including Facebook, TikTok, Amazon, and Google Ads.","Founded in Singapore in 2016. The company employs over 2,000 people. Its AnyCreator network supports influencers across the APAC region.","147,365"
Hypefy,https://hypefy.ai/,Mix (Platform & Agency),"A disruptive, performance-based model with no subscription fees, retainers, or lock-ins. The platform is free to use; Hypefy earns a service fee (10-30%) of the campaign spend only when campaigns are launched and successful.",No monthly subscription fees. Brands set their campaign budget and only pay for the campaign spend plus a service fee (10-30%) upon launch.,"An AI-powered influencer marketing platform that automates the entire campaign process and operates on a risk-free, performance-based model with no subscription fees.","No subscription fees or long-term contracts ('no monthly ransom'). AI-powered automation for campaign generation, influencer discovery, outreach, and management, claiming 50% cost savings. Flexible system supports both full AI automation and manual control. Built-in bot detection, content vetting, and fraud protection. Supports campaigns globally. Secured clients like NIVEA and Philips and raised €1.75 million in seed funding.","An AI-powered influencer marketing platform that makes campaigns efficient, scalable, and risk-free through automation and a performance-based pricing model.","Brands of all sizes looking for an efficient, cost-effective, and low-risk way to run influencer campaigns. Notable clients include NIVEA and Philips (Beiersdorf).","Global, supporting campaigns across Europe, North America, South America, Australia, and Africa.","Active on LinkedIn (@Hypefy AI), Instagram (@hypefy.ai), TikTok (@hypefy.ai), Facebook (hypefyai), YouTube (@hypefy-ai), and X/Twitter (@HypefyOfficial).","Marketing message is centered on its risk-free, performance-based model and AI-driven efficiency.",Trusted by over 100 brands with a monthly reach of over 5 million.,"Marketing is heavily focused on its unique performance-based pricing model, which it promotes as 'skin in the game.' It also offers free tools like an ROI calculator to attract users.",An AI-powered platform designed to automate the entire influencer marketing campaign lifecycle.,"AI Campaign Builder, automated influencer outreach, centralized collaboration dashboard (Flywheel), integrated contracts and payments, AI-powered content review, and a real-time performance tracking dashboard with AI-generated report summaries.",The platform's AI actively scans Instagram and TikTok for influencer discovery. Specific third-party integrations are not detailed.,Founded in 2021. Hypefy has a dual presence with legal entities in the US (Delaware) and Croatia.,"56,100"
